2025-05-19 19:15:47, 60.6 °C, 90.2 %, 14501/16195 MiB free
2025-05-19 19:15:53, 60.0 °C, 83.9 %, 14501/16195 MiB free
2025-05-19 19:15:58, 59.0 °C, 93.9 %, 14533/16195 MiB free
2025-05-19 19:16:04, 60.6 °C, 96.0 %, 14530/16195 MiB free
2025-05-19 19:16:09, 60.6 °C, 85.6 %, 14554/16195 MiB free
2025-05-19 19:16:15, 59.0 °C, 87.9 %, 14555/16195 MiB free
2025-05-19 19:16:20, 60.6 °C, 93.0 %, 14541/16195 MiB free
2025-05-19 19:16:26, 60.6 °C, 95.5 %, 14558/16195 MiB free
2025-05-19 19:16:31, 60.6 °C, 92.5 %, 14558/16195 MiB free
2025-05-19 19:16:37, 60.6 °C, 94.0 %, 14558/16195 MiB free
2025-05-19 19:16:42, 60.6 °C, 94.9 %, 14561/16195 MiB free
2025-05-19 19:16:48, 60.6 °C, 93.2 %, 14561/16195 MiB free
2025-05-19 19:16:53, 59.5 °C, 83.1 %, 14561/16195 MiB free
2025-05-19 19:16:59, 60.6 °C, 90.7 %, 14560/16195 MiB free
2025-05-19 19:17:04, 60.0 °C, 93.6 %, 14538/16195 MiB free
2025-05-19 19:17:10, 60.6 °C, 92.4 %, 14534/16195 MiB free
2025-05-19 19:17:16, 60.6 °C, 87.8 %, 14543/16195 MiB free
2025-05-19 19:17:21, 60.6 °C, 85.6 %, 14555/16195 MiB free
2025-05-19 19:17:27, 60.0 °C, 94.4 %, 14503/16195 MiB free
2025-05-19 19:17:32, 61.1 °C, 92.9 %, 14518/16195 MiB free
2025-05-19 19:17:38, 60.6 °C, 74.8 %, 14526/16195 MiB free
2025-05-19 19:17:43, 59.5 °C, 92.0 %, 14531/16195 MiB free
2025-05-19 19:17:49, 60.6 °C, 90.0 %, 14537/16195 MiB free
2025-05-19 19:17:54, 60.6 °C, 88.5 %, 14537/16195 MiB free
2025-05-19 19:18:00, 60.6 °C, 90.4 %, 14535/16195 MiB free
2025-05-19 19:18:05, 60.6 °C, 90.9 %, 14532/16195 MiB free
2025-05-19 19:18:11, 60.6 °C, 96.0 %, 14531/16195 MiB free
2025-05-19 19:18:16, 60.6 °C, 96.5 %, 14531/16195 MiB free
2025-05-19 19:18:22, 60.6 °C, 97.5 %, 14506/16195 MiB free
2025-05-19 19:18:27, 60.0 °C, 97.0 %, 14518/16195 MiB free
2025-05-19 19:18:33, 59.5 °C, 93.2 %, 14518/16195 MiB free
2025-05-19 19:18:38, 61.1 °C, 91.9 %, 14523/16195 MiB free
2025-05-19 19:18:44, 60.6 °C, 89.0 %, 14523/16195 MiB free
2025-05-19 19:18:49, 60.6 °C, 88.1 %, 14522/16195 MiB free
2025-05-19 19:18:55, 59.5 °C, 91.5 %, 14536/16195 MiB free
2025-05-19 19:19:00, 60.0 °C, 74.6 %, 14536/16195 MiB free
2025-05-19 19:19:06, 60.6 °C, 83.1 %, 14536/16195 MiB free
2025-05-19 19:19:12, 60.0 °C, 75.5 %, 14536/16195 MiB free
2025-05-19 19:19:17, 58.4 °C, 89.9 %, 14536/16195 MiB free
2025-05-19 19:19:23, 60.0 °C, 89.4 %, 14536/16195 MiB free
2025-05-19 19:19:28, 59.5 °C, 87.7 %, 14536/16195 MiB free
2025-05-19 19:19:34, 60.6 °C, 77.0 %, 14547/16195 MiB free
2025-05-19 19:19:39, 60.6 °C, 93.4 %, 14547/16195 MiB free
2025-05-19 19:19:45, 60.6 °C, 92.5 %, 14545/16195 MiB free
2025-05-19 19:19:50, 60.6 °C, 95.0 %, 14550/16195 MiB free
2025-05-19 19:19:56, 60.0 °C, 89.0 %, 14550/16195 MiB free
2025-05-19 19:20:01, 60.6 °C, 93.3 %, 14550/16195 MiB free
2025-05-19 19:20:07, 61.1 °C, 96.5 %, 14546/16195 MiB free
2025-05-19 19:20:12, 60.6 °C, 82.1 %, 14506/16195 MiB free
2025-05-19 19:20:18, 59.5 °C, 82.5 %, 14537/16195 MiB free
2025-05-19 19:20:23, 60.0 °C, 83.3 %, 14541/16195 MiB free
2025-05-19 19:20:29, 60.6 °C, 78.2 %, 14549/16195 MiB free
2025-05-19 19:20:34, 61.1 °C, 85.0 %, 14550/16195 MiB free
2025-05-19 19:20:40, 60.6 °C, 93.9 %, 14521/16195 MiB free
2025-05-19 19:20:45, 60.6 °C, 94.0 %, 14518/16195 MiB free
2025-05-19 19:20:51, 60.6 °C, 89.7 %, 14543/16195 MiB free
2025-05-19 19:20:56, 60.0 °C, 80.4 %, 14543/16195 MiB free
2025-05-19 19:21:02, 59.5 °C, 94.5 %, 14543/16195 MiB free
2025-05-19 19:21:07, 59.5 °C, 84.7 %, 14544/16195 MiB free
